featureID,1T,3T,15T,10T,11T,25T
a1d09f3d1b747e1047cfd56888f98746,1396.0,1114.0,706.0,0.0,0.0,447.0
f1aed64902e520e701bb752b4987d230,252.0,255.0,140.0,0.0,2.0,75.0
3754a72b7aea86f765474adc26f91d8e,113.0,108.0,80.0,0.0,0.0,53.0
c98beee4dd644c3c527bf25b27957be1,101.0,110.0,54.0,0.0,0.0,33.0
fb37af8783f946fcae3fbf95feef17ae,41.0,0.0,0.0,0.0,6.0,0.0
8057837158fa373fa516438276456c0e,34.0,264.0,710.0,147.0,0.0,215.0
1d29c9a2003dc50d750623d77a1a7cfc,13.0,20.0,0.0,0.0,0.0,13.0
301b35c7d14d215c4014ab6c588f6877,10.0,58.0,218.0,34.0,3.0,39.0
7c3ac94a1b4fb481fd228b0504ed5b86,9.0,0.0,0.0,0.0,0.0,0.0
a3961c906f99663f61bf76e3d3454b4f,7.0,0.0,0.0,0.0,0.0,0.0
92dfec883b9e57d3f019dc76dad4b35d,1.0,0.0,0.0,54.0,0.0,0.0
d2bd7e9c6166b615e0fc7d62f40a132b,0.0,29.0,69.0,6.0,0.0,24.0
8491a3a7a2787dfd7c7f02d2986946ee,0.0,17.0,0.0,0.0,2.0,708.0
c4c694f2f6f1460359adaea4101cb8d1,0.0,1.0,0.0,0.0,0.0,72.0
ecf3d591d145d0e94ddbf99fbd97af28,0.0,1.0,0.0,0.0,9.0,0.0
a02cb8657592e829877bc2c1c2b457df,0.0,0.0,0.0,699.0,0.0,0.0
9383aab121dc519b6bfa1dfaeda5baf5,0.0,0.0,0.0,499.0,0.0,0.0
bcdccbaa421efbaddabbd74b56bdb534,0.0,0.0,0.0,152.0,0.0,0.0
5af44a9bd1cfa84f749572ae76e03248,0.0,0.0,0.0,105.0,0.0,0.0
995f0f6a5466ffd73c0c02268f0dc84d,0.0,0.0,0.0,91.0,0.0,0.0
2b0d874afb5f99add657fc85567aa123,0.0,0.0,0.0,63.0,0.0,0.0
62b84240973bd09fb1d002cec8453a11,0.0,0.0,0.0,44.0,0.0,0.0
542e271874782745f1d09837655ecdf6,0.0,0.0,0.0,47.0,0.0,0.0
a1d41a5becf49efa1abb4adfe99c9031,0.0,0.0,0.0,14.0,0.0,0.0
113b5f99dbb7152e9cc50020362bcad6,0.0,0.0,0.0,13.0,0.0,0.0
ec83f1198be9617ce0b5c9ec65a87af1,0.0,0.0,0.0,5.0,0.0,0.0
d3a2e523d7edfbc5abfe680443ea4a8e,0.0,0.0,0.0,4.0,0.0,0.0
d2a959a3f635d1215a668049026ef575,0.0,0.0,0.0,0.0,23.0,0.0
5f064e13a193b45cab32fef6a7b2359e,0.0,0.0,0.0,0.0,914.0,0.0
fd1ff5f5e8dbb970d9e415798c77a73b,0.0,0.0,0.0,0.0,336.0,0.0
9b0a2c080656f063ea441f187a0909de,0.0,0.0,0.0,0.0,204.0,0.0
e26e60d37e0d81ba0c93c656fa7f1784,0.0,0.0,0.0,0.0,119.0,0.0
21af84988131beca564b3e111cf7ee24,0.0,0.0,0.0,0.0,81.0,0.0
e0f14ab2ecd4e02c75832c346adca585,0.0,0.0,0.0,0.0,58.0,0.0
66aaf4eb0a49d3674e3aa38ea676a0b9,0.0,0.0,0.0,0.0,57.0,0.0
90ab34d06c71b1ab077dea6720d8a068,0.0,0.0,0.0,0.0,33.0,0.0
e9dd7c377ce8426993cb16692c4d4e44,0.0,0.0,0.0,0.0,30.0,0.0
060eb51e179a4f0ea3049d23bf36fdcf,0.0,0.0,0.0,0.0,26.0,0.0
562c4f3c8960dbeb49b88be05a3deda4,0.0,0.0,0.0,0.0,15.0,0.0
e39cad62a57478ce4ca109fba539db55,0.0,0.0,0.0,0.0,13.0,0.0
3f324ae9e9fbdb5dd74e7cec96a9ea90,0.0,0.0,0.0,0.0,13.0,0.0
e2082eaf418ce5173f7f50b99dd36ce7,0.0,0.0,0.0,0.0,12.0,0.0
70b89d90f60059768ff4a485d80a8e32,0.0,0.0,0.0,0.0,11.0,0.0
324ab8baed4ef96eb3160aba20c8face,0.0,0.0,0.0,0.0,10.0,0.0
394c7d501c768fabc3c39a5fef4d8cf1,0.0,0.0,0.0,0.0,0.0,125.0
bbfee87e335f4eccf06912288b5df255,0.0,0.0,0.0,0.0,0.0,49.0
1aa866e9bdebf13ce9235f0ee3ad5786,0.0,0.0,0.0,0.0,0.0,46.0
d1a0323bece5f3d8b911586733c901cc,0.0,0.0,0.0,0.0,0.0,37.0
9ff4539edf9ff11b060464e340d3decf,0.0,0.0,0.0,0.0,0.0,6.0
16140391bae8e02384c2740850bc99a2,0.0,0.0,0.0,0.0,0.0,12.0
b6b8aa1ff76cf10a70f434c61ca8b661,0.0,0.0,0.0,0.0,0.0,8.0
5ffcf54a278a9a1b71dfba8f9295332d,0.0,0.0,0.0,0.0,0.0,8.0
9e5404421c6826c313f42c6f15b17833,0.0,0.0,0.0,0.0,0.0,4.0
960f1e7a1a45eb9c87ebbf0259fdedab,0.0,0.0,0.0,0.0,0.0,3.0
