#NAME	Bianco	mockM2	ZK9	CK14	EK15	EK0	CK3	CK5	ZK8	RK0	MK1	RK1	CK1	mockR3	EK9	RK5	RK15	MK6	MK8	RK3	MK4	mockZ3	ZK11	EK7	CK10	EK11	RK13	EK12	CK15	EK1	CK0	ZK4	RK7	MK14	ZK3	CK11	ZK13	ZK15	mockR1	RK12	mockM3	mockM1	ZK0	ZK7	mockM4	CK12	MK3	mockZ1	MK9	MK12	ZK5	CK9	EK13	EK3	mockZ5	EK8	ZK1	CK13	CK6	MK10	EK2	EK14	RK14	ZK10	mockZ2	mockM6	EK4	ZK6	mockZ6	mockZ4	mockM5	EK10	MK5	CK7	MK11	ZK14	ZK12	CK4	RK10	RK11	MK2	MK0	ZK2	RK2	RK8	RK4	CK2	RK9	MK13	MK15	CK8	RK6	EK6	EK5	MK7
Otu1	15	6857	12	9528	115	9	16636	14	2761	20	14321	16102	27113	22737	13	20	12	33058	7064	37611	20	14976	15729	20	42570	15179	7517	13	20	47566	9	22	19	23317	40357	9463	15182	27	1018	9	12200	19696	21	27	23274	12	18665	885	17	38	26	14	21779	40285	28875	1731	53178	15278	25283	79801	5044	7672	6577	67111	1114	23565	222	73483	13915	22301	22557	40991	14	9	16210	5349	16	18	28378	8705	12545	8	5029	3079	3036	22	10500	53	12	16	4738	63450	31951	15	13
Otu10	0	0	0	1	32797	3	16	0	0	4	0	0	0	0	0	0	4017	0	1	0	0	1	0	0	0	0	1	0	4559	0	0	0	0	0	3	0	0	3933	1	0	0	1	3	0	0	0	0	1	1	1	0	0	2	4	0	0	0	0	4	0	0	1	3	0	2	1	0	0	1	4	1	0	0	0	0	1	1	0	0	1	7	2	0	0	0	0	1	0	0	379	0	0	0	0	0
Otu100	0	0	17	1	37	0	38	8	6	0	1	1	2	0	17	9	6	2	0	14	5	0	0	8	0	1	6	7	8	2	0	16	17	10	36	2	12	6	0	2	0	0	0	17	0	2	30	0	38	5	13	4	16	49	0	0	4	7	1	2	2	8	8	0	0	0	3	6	0	0	0	0	7	6	1	4	11	2	1	0	2	0	4	0	1	10	2	63	0	0	0	1	0	2	9
Otu101	0	0	0	0	48	0	0	1	21	0	10	12	17	0	0	0	3	9	26	0	0	0	0	2	7	0	2	4	2	31	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	5	0	0	0	6	0	0	0	0	0	15	32	1	3	22	0	0	0	26	0	0	0	12	0	0	0	18	0	1	0	0	7	0	6	0	0	0	0	0	15	0	0	0	0	0	30	5	1	0	2
Otu102	0	0	22	4	3	0	13	0	0	0	8	8	17	0	6	0	0	0	0	52	3	0	0	0	1	0	0	0	2	34	0	10	0	4	57	0	0	0	0	0	0	0	0	0	0	0	37	0	5	0	1	19	0	34	0	0	30	0	0	8	7	0	0	1	0	0	2	0	0	0	0	6	0	0	0	1	0	4	1	0	5	0	5	0	0	7	5	48	0	0	0	0	0	0	0
Otu103	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	35	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	35	0	0
Otu104	0	0	7	7	17	0	46	6	0	0	1	0	5	0	7	2	1	1	0	0	3	0	0	7	0	0	4	1	3	1	0	5	14	5	9	1	23	1	0	3	0	0	0	2	0	7	8	0	13	2	4	8	8	24	0	0	2	9	1	0	3	5	1	0	0	0	2	4	0	0	0	1	2	5	0	3	5	6	0	0	0	0	5	0	0	5	3	27	0	0	2	1	1	2	7
Otu105	0	0	0	11	8	0	0	0	14	0	1	4	26	0	0	0	0	0	43	0	0	0	0	2	3	0	0	11	0	30	0	0	0	8	0	0	0	0	0	2	0	0	0	1	0	5	0	0	0	1	0	0	8	0	0	43	11	2	0	1	0	4	0	0	0	0	0	0	0	0	0	3	0	1	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	74	0	0	0	0
Otu106	0	0	29	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	6	0	23	0	0	0	0	0	0	0
Otu107	0	0	1	0	0	0	0	2	37	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	90	0	0	0	0
