#NAME	Patient	Kit	SampleType
Bianco	Blank	Blank	Blank
mockM2	Patient2	Mobio	Mock
ZK9	Patient9	Zymo_Universal	Sputum
CK14	Patient14	QIAGEN	Sputum
EK15	Patient15	Zymobiomics	Sputum
EK0	Blank	Zymobiomics	Blank
CK3	Patient3	QIAGEN	Sputum
CK5	Patient5	QIAGEN	Sputum
ZK8	Patient8	Zymo_Universal	Sputum
RK0	Blank	Roche	Blank
MK1	Patient1	Mobio	Sputum
RK1	Patient1	Roche	Sputum
CK1	Patient1	QIAGEN	Sputum
mockR3	Patient3	Roche	Mock
EK9	Patient9	Zymobiomics	Sputum
RK5	Patient5	Roche	Sputum
RK15	Patient15	Roche	Sputum
MK6	Patient6	Mobio	Sputum
MK8	Patient8	Mobio	Sputum
RK3	Patient3	Roche	Sputum
MK4	Patient4	Mobio	Sputum
mockZ3	Patient3	Zymo_Universal	Mock
ZK11	Patient11	Zymo_Universal	Sputum
EK7	Patient7	Zymobiomics	Sputum
CK10	Patient10	QIAGEN	Sputum
EK11	Patient11	Zymobiomics	Sputum
RK13	Patient13	Roche	Sputum
EK12	Patient12	Zymobiomics	Sputum
CK15	Patient15	QIAGEN	Sputum
EK1	Patient1	Zymobiomics	Sputum
CK0	Blank	QIAGEN	Blank
ZK4	Patient4	Zymo_Universal	Sputum
RK7	Patient7	Roche	Sputum
MK14	Patient14	Mobio	Sputum
ZK3	Patient3	Zymo_Universal	Sputum
CK11	Patient11	QIAGEN	Sputum
ZK13	Patient13	Zymo_Universal	Sputum
ZK15	Patient15	Zymo_Universal	Sputum
mockR1	Patient1	Roche	Mock
RK12	Patient12	Roche	Sputum
mockM3	Patient3	Mobio	Mock
mockM1	Patient1	Mobio	Mock
ZK0	Blank	Zymo_Universal	Blank
ZK7	Patient7	Zymo_Universal	Sputum
mockM4	Patient4	Mobio	Mock
CK12	Patient12	QIAGEN	Sputum
MK3	Patient3	Mobio	Sputum
mockZ1	Patient1	Zymo_Universal	Mock
MK9	Patient9	Mobio	Sputum
MK12	Patient12	Mobio	Sputum
ZK5	Patient5	Zymo_Universal	Sputum
CK9	Patient9	QIAGEN	Sputum
EK13	Patient13	Zymobiomics	Sputum
EK3	Patient3	Zymobiomics	Sputum
mockZ5	Patient5	Zymo_Universal	Mock
EK8	Patient8	Zymobiomics	Sputum
ZK1	Patient1	Zymo_Universal	Sputum
CK13	Patient13	QIAGEN	Sputum
CK6	Patient6	QIAGEN	Sputum
MK10	Patient10	Mobio	Sputum
EK2	Patient2	Zymobiomics	Sputum
EK14	Patient14	Zymobiomics	Sputum
RK14	Patient14	Roche	Sputum
ZK10	Patient10	Zymo_Universal	Sputum
mockZ2	Patient2	Zymo_Universal	Mock
mockM6	Patient6	Mobio	Mock
EK4	Patient4	Zymobiomics	Sputum
ZK6	Patient6	Zymo_Universal	Sputum
mockZ6	Patient6	Zymo_Universal	Mock
mockZ4	Patient4	Zymo_Universal	Mock
mockM5	Patient5	Mobio	Mock
EK10	Patient10	Zymobiomics	Sputum
MK5	Patient5	Mobio	Sputum
CK7	Patient7	QIAGEN	Sputum
MK11	Patient11	Mobio	Sputum
ZK14	Patient14	Zymo_Universal	Sputum
ZK12	Patient12	Zymo_Universal	Sputum
CK4	Patient4	QIAGEN	Sputum
RK10	Patient10	Roche	Sputum
RK11	Patient11	Roche	Sputum
MK2	Patient2	Mobio	Sputum
MK0	Blank	Mobio	Blank
ZK2	Patient2	Zymo_Universal	Sputum
RK2	Patient2	Roche	Sputum
RK8	Patient8	Roche	Sputum
RK4	Patient4	Roche	Sputum
CK2	Patient2	QIAGEN	Sputum
RK9	Patient9	Roche	Sputum
MK13	Patient13	Mobio	Sputum
MK15	Patient15	Mobio	Sputum
CK8	Patient8	QIAGEN	Sputum
RK6	Patient6	Roche	Sputum
EK6	Patient6	Zymobiomics	Sputum
EK5	Patient5	Zymobiomics	Sputum
MK7	Patient7	Mobio	Sputum
